surface,winner_rank,loser_rank
Hard,52,10
Hard,52,6
Hard,10,122
Hard,6,30
Hard,52,137
Hard,10,17
Hard,122,34
Hard,6,46
Hard,30,15
Hard,137,61
Hard,52,77
Hard,17,22
Hard,10,40
Hard,122,20
Hard,34,70
Hard,6,128
Hard,46,35
Hard,30,172
Hard,15,44
Hard,137,66
Hard,61,38
Hard,52,33
Hard,77,18
Hard,17,84
Hard,22,43
Hard,40,72
Hard,10,124
Hard,20,281
Hard,122,25
Hard,34,85
Hard,70,8
Hard,128,98
Hard,46,173
Hard,172,101
Hard,44,195
Hard,66,126
Hard,61,87
Hard,52,206
Hard,77,51
Hard,84,179
Hard,43,178
Hard,72,93
Hard,124,80
Hard,281,116
Hard,122,49
Hard,85,78
Hard,70,99
Hard,8,19
Hard,8,1
Hard,19,56
Hard,1,31
Hard,8,70
Hard,56,11
Hard,19,77
Hard,1,53
Hard,31,9
Hard,70,3
Hard,8,36
Hard,11,58
Hard,56,24
Hard,77,38
Hard,19,59
Hard,1,45
Hard,53,16
Hard,31,34
Hard,9,27
Hard,3,55
Hard,70,23
Hard,8,29
Hard,36,7
Hard,58,6
Hard,11,52
Hard,24,39
Hard,56,66
Hard,77,5
Hard,38,42
Hard,19,22
Hard,59,46
Hard,45,41
Hard,53,35
Hard,16,28
Hard,34,43
Hard,31,111
Hard,27,47
Hard,55,26
Hard,23,74
Hard,70,17
Hard,8,30
Hard,29,33
Hard,36,80
Hard,58,21
Hard,52,15
Hard,11,40
Hard,39,18
Hard,24,37
Hard,56,324
Hard,77,49
Hard,38,65
Hard,42,13
Hard,19,25
Hard,22,54
Hard,59,32
Clay,1,9
Clay,1,5
Clay,9,2
Clay,1,11
Clay,5,3
Clay,9,4
Clay,2,34
Clay,1,47
Clay,11,32
Clay,3,18
Clay,5,12
Clay,9,38
Clay,4,52
Clay,34,7
Clay,2,37
Clay,1,57
Clay,47,25
Clay,11,49
Clay,32,8
Clay,3,39
Clay,18,36
Clay,12,48
Clay,5,58
Clay,9,56
Clay,38,13
Clay,52,28
Clay,4,144
Clay,7,109
Clay,34,26
Clay,37,50
Clay,2,30
Clay,57,46
Clay,47,85
Clay,25,19
Clay,11,61
Clay,49,35
Clay,32,24
Clay,39,127
Clay,36,23
Clay,18,67
Clay,12,22
Clay,48,59
Clay,58,42
Clay,56,75
Clay,38,44
Clay,13,55
Clay,28,15
Clay,52,27
Clay,144,21
Clay,109,29
Clay,34,41
Clay,26,14
Clay,37,17
Clay,50,40
Clay,30,20
Hard,9,16
Hard,16,239
Hard,9,40
Hard,239,31
Hard,16,18
Hard,40,185
Hard,9,19
Hard,239,77
Hard,31,72
Hard,16,240
Hard,18,131
Hard,40,35
Hard,185,14
Hard,19,38
Hard,9,63
Hard,239,146
Hard,72,154
Hard,31,147
Hard,240,234
Hard,131,56
Hard,18,67
Hard,35,62
Hard,40,57
Hard,185,102
Hard,19,75
Hard,38,61
Hard,63,49
Grass,42,79
Grass,42,31
Grass,79,102
Grass,42,52
Grass,31,65
Grass,79,36
Grass,102,25
Grass,42,26
Grass,52,69
Grass,31,49
Grass,65,38
Grass,36,62
Grass,79,33
Grass,25,55
Grass,102,30
Grass,42,472
Grass,69,61
Grass,52,40
Grass,49,81
Grass,38,113
Grass,65,41
Grass,36,58
Grass,62,166
Grass,79,47
Grass,25,92
Grass,55,44
Grass,102,205
Hard,5,7
Hard,5,9
Hard,7,6
Hard,5,503
Hard,9,12
Hard,7,19
Hard,6,55
Hard,5,213
Hard,503,69
Hard,9,72
Hard,12,35
Hard,19,48
Hard,7,17
Hard,55,16
Hard,6,20
Hard,5,42
Hard,213,34
Hard,69,33
Hard,503,13
Hard,9,47
Hard,72,65
Hard,35,26
Hard,12,60
Hard,19,11
Hard,48,235
Hard,17,22
Hard,7,29
Hard,55,10
Hard,16,38
Hard,20,44
Hard,6,46
Hard,31,44
Hard,31,25
Hard,44,72
Hard,31,164
Hard,25,66
Hard,44,32
Hard,72,8
Hard,164,498
Hard,31,98
Hard,25,87
Hard,66,49
Hard,44,58
Hard,32,152
Hard,72,80
Hard,8,76
Hard,498,1491
Hard,98,89
Hard,31,48
Hard,87,71
Hard,66,78
Hard,49,424
Hard,44,93
Hard,58,113
Hard,152,51
Hard,72,38
Hard,80,67
Hard,76,68
Grass,44,62
Grass,62,42
Grass,44,14
Grass,42,60
Grass,62,24
Grass,44,33
Grass,14,32
Grass,60,6
Grass,42,47
Grass,24,72
Grass,62,35
Grass,33,45
Grass,44,34
Grass,32,67
Grass,14,41
Grass,60,219
Grass,47,76
Grass,42,93
Grass,72,104
Grass,62,138
Grass,35,71
Grass,33,129
Grass,45,66
Grass,44,224
Grass,32,122
Grass,67,64
Grass,41,211
Clay,2,1
Clay,1,24
Clay,2,7
Clay,1,9
Clay,24,6
Clay,7,3
